Frequenza,Territorio,Indicatore,Luogo di nascita del marito,Luogo di nascita della moglie,Luogo di residenza del marito,Luogo di residenza della moglie,Classe di età del marito al divorzio,Classe di età della moglie al divorzio,Classe di età del marito al matrimonio,Classe di età della moglie al matrimonio,Anno di matrimonio,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,55-59 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,5188,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,55-59 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,5901,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,55-59 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,5966,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,55-59 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,6230,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,19307,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,18426,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,18846,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,17895,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,17589,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,17301,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,17539,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,1724,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Nord-ovest,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,1800,,27_385_DF_DCIS_DIVORDEMCONG_5
