Frequenza,Territorio,Indicatore,Rito di esaurimento,Periodo tra la separazione e l'iscrizione a ruolo del procedimento,Modalità di esaurimento,Con figli affidati,Durata del matrimonio,Anno di matrimonio,Numero di figli,Coniuge che ha presentato la domanda di divorzio con rito giudiziale,Tipo di affidamento,Numero di figli affidati,Età dei figli affidati,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2013,30,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2014,23,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2008,846,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2009,858,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2010,774,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2011,640,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2012,738,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2013,765,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,marito,totale,totale,totale,2014,748,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2008,1553,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2009,1585,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2010,1444,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2011,1222,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2012,1393,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2013,1445,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,totale divorzi aperti con rito giudiziale,totale,totale,totale,2014,1407,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2008,664,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2009,691,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2010,625,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2011,543,,27_814_DF_DCIS_DIVFIG_10
