Frequenza,Territorio,Indicatore,Luogo di nascita del marito,Luogo di nascita della moglie,Luogo di residenza del marito,Luogo di residenza della moglie,Classe di età del marito al divorzio,Classe di età della moglie al divorzio,Classe di età del marito al matrimonio,Classe di età della moglie al matrimonio,Anno di matrimonio,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,25-29 anni,15 anni e più,15 anni e più,tutte le voci,2011,8,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,25-29 anni,15 anni e più,15 anni e più,tutte le voci,2012,14,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,25-29 anni,15 anni e più,15 anni e più,tutte le voci,2013,8,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,25-29 anni,15 anni e più,15 anni e più,tutte le voci,2014,1,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2008,46,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2009,54,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2010,76,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2011,58,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2012,25,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2013,32,,27_385_DF_DCIS_DIVORDEMCONG_4
