Frequenza,Territorio,Indicatore,Luogo di nascita del marito,Luogo di nascita della moglie,Luogo di residenza del marito,Luogo di residenza della moglie,Classe di età del marito al divorzio,Classe di età della moglie al divorzio,Classe di età del marito al matrimonio,Classe di età della moglie al matrimonio,Anno di matrimonio,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2020,55,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2021,50,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2022,54,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2015,76,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2016,125,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2017,103,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2018,123,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2019,85,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2020,87,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2021,83,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2022,88,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2015,72,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2016,82,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2017,87,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2018,97,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2019,86,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2020,67,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2021,112,,27_470_DF_DCIS_DIVORDEMCONG1_6
annuale,Basilicata,divorzi concessi dal tribunale,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2022,124,,27_470_DF_DCIS_DIVORDEMCONG1_6
