Frequenza,Territorio,Indicatore,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Piemonte,numero di separazioni esaurite con rito consensuale,2008,7054,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,numero di separazioni esaurite con rito consensuale,2009,6793,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,numero di separazioni esaurite con rito consensuale,2010,6541,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,numero di separazioni esaurite con rito consensuale,2011,6220,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,numero di separazioni esaurite con rito consensuale,2012,5965,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,numero di separazioni esaurite con rito consensuale,2013,6381,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,numero di separazioni esaurite con rito consensuale,2014,5263,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,tasso di separazione rispetto agli abitanti (valori per mille),2007,1.7,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,tasso di separazione rispetto agli abitanti (valori per mille),2008,1.8,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,tasso di separazione rispetto agli abitanti (valori per mille),2009,1.8,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,tasso di separazione rispetto agli abitanti (valori per mille),2010,1.7,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,tasso di separazione rispetto agli abitanti (valori per mille),2011,1.6,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,tasso di separazione rispetto agli abitanti (valori per mille),2012,1.6,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,tasso di separazione rispetto agli abitanti (valori per mille),2013,1.7,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,tasso di separazione rispetto agli abitanti (valori per mille),2014,1.4,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,durata media del procedimento di separazione giudiziale (in giorni),2007,576,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,durata media del procedimento di separazione giudiziale (in giorni),2008,724,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,durata media del procedimento di separazione giudiziale (in giorni),2009,614,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,durata media del procedimento di separazione giudiziale (in giorni),2010,601,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,durata media del procedimento di separazione giudiziale (in giorni),2011,586,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,durata media del procedimento di separazione giudiziale (in giorni),2012,547,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,durata media del procedimento di separazione giudiziale (in giorni),2013,829,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,durata media del procedimento di separazione giudiziale (in giorni),2014,427,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,durata media del procedimento di separazione consensuale (in giorni),2007,94,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,durata media del procedimento di separazione consensuale (in giorni),2008,73,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,durata media del procedimento di separazione consensuale (in giorni),2009,101,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,durata media del procedimento di separazione consensuale (in giorni),2010,92,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,durata media del procedimento di separazione consensuale (in giorni),2011,88,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,durata media del procedimento di separazione consensuale (in giorni),2012,81,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,durata media del procedimento di separazione consensuale (in giorni),2013,65,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,durata media del procedimento di separazione consensuale (in giorni),2014,74,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni esaurite con rito consensuale (valori percentuali),2007,89.1,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni esaurite con rito consensuale (valori percentuali),2008,79.9,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni esaurite con rito consensuale (valori percentuali),2009,86.2,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni esaurite con rito consensuale (valori percentuali),2010,88.4,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni esaurite con rito consensuale (valori percentuali),2011,91.7,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni esaurite con rito consensuale (valori percentuali),2012,91.8,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni esaurite con rito consensuale (valori percentuali),2013,92.1,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni esaurite con rito consensuale (valori percentuali),2014,93.4,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni concesse,2007,274,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni concesse,2008,268,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni concesse,2009,217,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni concesse,2010,232,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni concesse,2011,229,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni concesse,2012,232,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni concesse,2013,190,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni concesse,2014,197,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni concesse rispetto ai coniugati (valori per centomila),2007,460.7,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni concesse rispetto ai coniugati (valori per centomila),2008,449.5,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni concesse rispetto ai coniugati (valori per centomila),2009,364.4,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni concesse rispetto ai coniugati (valori per centomila),2010,391.7,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni concesse rispetto ai coniugati (valori per centomila),2011,393.8,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni concesse rispetto ai coniugati (valori per centomila),2012,404.5,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni concesse rispetto ai coniugati (valori per centomila),2013,330.8,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,separazioni concesse rispetto ai coniugati (valori per centomila),2014,344.4,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,numero di separazioni esaurite con rito consensuale,2007,244,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,numero di separazioni esaurite con rito consensuale,2008,214,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,numero di separazioni esaurite con rito consensuale,2009,187,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Valle d'Aosta / Vallée d'Aoste,numero di separazioni esaurite con rito consensuale,2010,205,,27_349_DF_DCIS_SEPARAZIND_1
